Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Paperless Billing,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Contract_One year,Contract_Two year,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,Internet Service_Fiber optic,Internet Service_No,Multiple Lines_No phone service,Multiple Lines_Yes
0,1,0,1,27,1,0.0,0.0,1.0,0.0,0.0,0.0,1,78.05,2135.5,Yes,1,95,4638,False,False,False,True,False,True,False,False,True
0,0,1,0,25,0,1.0,1.0,1.0,0.0,1.0,1.0,1,58.6,1502.65,Yes,1,99,4190,False,False,True,False,False,False,False,True,False
1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,1,35.45,35.45,Yes,1,80,2301,False,False,False,True,False,False,False,True,False
1,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,44.35,81.25,Yes,1,76,2570,False,False,False,True,False,False,False,False,False
0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,70.45,70.45,Yes,1,76,3964,False,False,False,False,True,True,False,False,False
0,0,0,0,8,1,1.0,0.0,0.0,1.0,0.0,1.0,0,71.15,563.65,Yes,1,66,2662,False,False,False,True,False,False,False,False,True
1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,45.65,45.65,Yes,1,73,2600,False,False,False,True,False,False,False,False,False
1,0,0,1,7,1,0.0,0.0,0.0,0.0,1.0,1.0,0,95.0,655.5,Yes,1,94,2786,False,False,False,False,True,True,False,False,True
0,0,1,1,20,1,1.0,0.0,0.0,0.0,0.0,0.0,0,82.4,1592.35,Yes,1,86,5719,False,False,False,True,False,True,False,False,True
0,0,0,1,4,1,0.0,0.0,0.0,0.0,0.0,0.0,1,70.9,273.0,Yes,1,75,4287,False,False,False,False,False,True,False,False,False
1,1,1,0,58,0,0.0,1.0,1.0,0.0,0.0,1.0,1,45.3,2651.2,Yes,1,100,5444,False,False,False,True,False,False,False,True,False
0,0,1,1,2,1,0.0,0.0,1.0,1.0,1.0,1.0,1,104.4,242.8,Yes,1,83,4690,False,False,False,True,False,True,False,False,True
0,0,1,0,53,1,0.0,0.0,1.0,0.0,1.0,1.0,1,94.85,5000.2,Yes,1,80,4328,True,False,False,False,False,True,False,False,False
0,1,0,1,15,1,0.0,0.0,0.0,0.0,0.0,0.0,1,74.45,1145.7,Yes,1,99,5717,False,False,False,False,True,True,False,False,True
0,1,0,1,7,1,1.0,0.0,0.0,0.0,0.0,0.0,0,76.45,503.6,Yes,1,81,4419,False,False,False,False,False,True,False,False,False
0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0,29.95,29.95,Yes,1,95,4534,False,False,False,False,False,False,False,True,False
1,0,0,1,8,1,0.0,0.0,0.0,0.0,0.0,1.0,0,84.5,662.65,Yes,1,86,2152,False,False,False,False,False,True,False,False,True
0,0,0,1,13,1,0.0,1.0,1.0,0.0,0.0,0.0,1,79.25,1111.65,Yes,1,73,5142,False,False,False,True,False,True,False,False,False
0,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,24.8,24.8,Yes,1,94,4851,False,False,False,True,False,False,False,True,False
1,0,1,1,6,1,0.0,1.0,1.0,0.0,0.0,1.0,1,91.0,531.0,Yes,1,94,2283,False,False,False,True,False,True,False,False,False
1,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0,79.9,79.9,Yes,1,98,3394,False,False,False,True,False,True,False,False,False
0,0,0,1,19,1,1.0,0.0,1.0,1.0,1.0,1.0,1,106.6,1934.45,Yes,1,71,3764,False,False,False,True,False,True,False,False,False
1,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,1,46.0,84.5,Yes,1,76,2667,False,False,True,False,False,False,False,False,False
0,0,0,1,4,1,0.0,0.0,0.0,0.0,0.0,0.0,1,70.15,268.35,Yes,1,67,2227,False,False,False,True,False,True,False,False,False
1,0,1,0,4,1,0.0,0.0,0.0,1.0,0.0,0.0,0,50.05,179.35,Yes,1,82,3394,False,False,False,False,True,False,False,False,False
0,0,1,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0,55.2,55.2,Yes,1,81,3638,False,False,False,False,True,False,False,False,False
1,0,0,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,1,84.6,84.6,Yes,1,66,2484,False,False,False,False,True,True,False,False,False
1,0,0,0,2,1,0.0,1.0,0.0,0.0,0.0,0.0,1,54.4,114.1,Yes,1,81,2556,False,False,False,False,True,False,False,False,True
0,1,0,1,11,1,0.0,1.0,0.0,0.0,1.0,1.0,1,95.0,1120.3,Yes,1,85,5980,False,False,False,True,False,True,False,False,False
1,1,0,0,15,1,0.0,1.0,0.0,0.0,0.0,0.0,1,74.4,1074.3,Yes,1,86,4616,False,False,False,True,False,True,False,False,False
1,0,0,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1,48.55,48.55,Yes,1,77,5687,False,False,False,False,True,False,False,False,False
0,0,1,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,70.4,147.15,Yes,1,75,5687,False,False,False,True,False,True,False,False,False
1,1,1,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0,40.2,40.2,Yes,1,65,5828,False,False,False,True,False,False,False,True,False
0,0,1,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,1,44.6,80.55,Yes,1,99,4884,False,False,True,False,False,False,False,False,False
1,1,0,0,3,0,0.0,0.0,1.0,0.0,0.0,1.0,1,41.15,132.2,Yes,1,96,2314,False,False,False,True,False,False,False,True,False
1,1,0,0,13,1,0.0,1.0,1.0,0.0,1.0,1.0,1,106.9,1364.3,Yes,1,84,2494,False,False,False,True,False,True,False,False,True
1,0,0,0,59,1,,,,,,,0,19.35,1099.6,Yes,1,83,5084,False,True,False,False,True,False,True,False,False
0,1,0,0,16,1,0.0,0.0,0.0,1.0,1.0,1.0,1,94.45,1511.2,Yes,1,81,3810,False,False,False,True,False,True,False,False,False
1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,24.8,24.8,Yes,1,73,5087,False,False,False,False,False,False,False,True,False
1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,70.6,70.6,Yes,1,69,3338,False,False,False,False,True,True,False,False,False
1,0,1,0,5,1,0.0,1.0,0.0,1.0,0.0,0.0,1,85.4,401.1,Yes,1,80,3676,False,False,False,True,False,True,False,False,True
0,0,1,0,52,1,0.0,1.0,1.0,0.0,1.0,1.0,1,105.05,5624.85,Yes,1,65,4839,False,False,False,True,False,True,False,False,True
1,0,1,0,18,1,0.0,0.0,1.0,0.0,1.0,1.0,0,95.15,1779.95,Yes,1,68,4643,False,False,False,False,True,True,False,False,False
1,0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,70.0,70.0,Yes,1,97,4094,False,False,False,True,False,True,False,False,False
1,1,0,0,8,1,0.0,1.0,0.0,0.0,0.0,0.0,1,74.5,606.55,Yes,1,80,4345,False,False,False,True,False,True,False,False,False
1,0,0,0,10,1,0.0,0.0,0.0,0.0,0.0,0.0,1,44.85,435.4,Yes,1,83,4061,False,False,True,False,False,False,False,False,False
1,1,0,0,24,1,0.0,0.0,0.0,0.0,0.0,0.0,1,76.1,1712.7,Yes,1,98,2018,False,False,False,True,False,True,False,False,True
0,0,0,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1,73.6,73.6,Yes,1,80,2565,False,False,False,False,True,True,False,False,False
0,1,0,0,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1,95.45,396.1,Yes,1,85,3677,False,False,False,True,False,True,False,False,True
1,1,1,0,32,1,0.0,0.0,0.0,0.0,0.0,0.0,1,74.9,2303.35,Yes,1,69,4105,False,False,False,True,False,True,False,False,True
1,0,0,0,5,1,0.0,0.0,0.0,0.0,1.0,0.0,1,80.6,415.55,Yes,1,69,5715,False,False,False,True,False,True,False,False,False
0,0,1,0,38,1,1.0,1.0,0.0,1.0,1.0,1.0,0,80.3,3058.65,Yes,1,81,2071,True,False,True,False,False,False,False,False,False
1,1,1,0,24,1,0.0,0.0,1.0,0.0,1.0,1.0,1,93.15,2231.05,Yes,1,73,2212,False,False,False,True,False,True,False,False,False
0,1,0,0,54,1,1.0,1.0,0.0,1.0,1.0,1.0,0,82.45,4350.1,Yes,1,83,4149,True,False,False,False,False,False,False,False,True
0,1,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,1,70.35,139.05,Yes,1,73,2671,False,False,False,True,False,True,False,False,False
0,0,0,0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,1,73.85,511.25,Yes,1,67,2473,False,False,False,True,False,True,False,False,True
0,0,0,0,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0,80.6,155.8,Yes,1,92,2683,False,False,False,False,True,True,False,False,True
1,0,1,0,68,1,0.0,1.0,1.0,1.0,0.0,1.0,1,75.8,5293.95,Yes,1,81,4903,True,False,False,False,False,False,False,False,True
0,0,0,0,43,1,0.0,1.0,1.0,0.0,1.0,1.0,1,104.6,4759.85,Yes,1,91,5250,False,True,False,True,False,True,False,False,True
1,0,1,0,63,1,0.0,1.0,1.0,0.0,1.0,1.0,1,103.4,6603.0,Yes,1,98,4352,False,False,False,True,False,True,False,False,True
0,0,0,0,2,1,0.0,0.0,0.0,0.0,1.0,1.0,1,90.4,168.2,Yes,1,76,4157,False,False,False,True,False,True,False,False,False
1,0,1,0,4,1,0.0,1.0,1.0,0.0,0.0,0.0,1,84.8,371.9,Yes,1,73,4939,False,False,False,False,False,True,False,False,True
0,1,0,0,21,0,1.0,0.0,0.0,0.0,1.0,0.0,1,41.9,840.1,Yes,1,97,4778,False,False,False,True,False,False,False,True,False
0,0,0,0,10,1,0.0,0.0,0.0,0.0,0.0,1.0,1,80.25,846.0,Yes,1,85,3598,False,False,False,False,False,True,False,False,False
1,1,1,0,27,0,1.0,0.0,0.0,0.0,0.0,0.0,0,30.75,805.1,Yes,1,91,2927,False,False,True,False,False,False,False,True,False
1,0,0,0,5,1,0.0,0.0,1.0,0.0,1.0,1.0,0,96.5,492.55,Yes,1,98,5383,False,False,False,False,False,True,False,False,False
1,0,0,0,2,1,0.0,0.0,0.0,0.0,1.0,0.0,1,85.65,181.5,Yes,1,73,3878,False,False,False,True,False,True,False,False,True
0,0,1,0,25,1,0.0,0.0,1.0,1.0,1.0,1.0,1,104.95,2566.5,Yes,1,66,3642,False,False,False,False,False,True,False,False,True
1,0,0,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0,50.65,50.65,Yes,1,76,2431,False,False,False,False,True,False,False,False,False
1,0,0,0,1,1,0.0,1.0,0.0,0.0,0.0,1.0,1,90.85,90.85,Yes,1,81,3424,False,False,True,False,False,True,False,False,True
1,1,1,0,11,1,,,,,,,0,19.95,214.75,Yes,1,80,5888,False,False,False,False,True,False,True,False,False
0,1,1,0,55,1,0.0,1.0,1.0,0.0,0.0,0.0,1,85.45,4874.7,Yes,1,100,5502,False,False,False,True,False,True,False,False,True
0,0,0,0,34,1,0.0,1.0,0.0,0.0,0.0,0.0,1,73.95,2524.45,Yes,1,94,5795,False,False,True,False,False,True,False,False,False
1,0,1,0,69,1,0.0,0.0,1.0,0.0,1.0,1.0,1,99.45,7007.6,Yes,1,80,4020,False,False,True,False,False,True,False,False,True
0,0,0,0,1,1,,,,,,,1,19.9,19.9,Yes,1,92,3351,False,False,False,False,True,False,True,False,False
1,0,0,0,1,1,,,,,,,1,19.6,19.6,Yes,1,95,3448,False,False,False,False,True,False,True,False,False
1,1,0,0,3,1,0.0,1.0,0.0,0.0,0.0,0.0,1,81.35,233.7,Yes,1,73,2818,False,False,False,True,False,True,False,False,True
0,0,1,0,22,1,0.0,1.0,0.0,0.0,0.0,1.0,0,83.3,1845.9,Yes,1,88,3804,False,False,False,True,False,True,False,False,False
0,1,0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,1,75.3,75.3,Yes,1,67,4902,False,False,False,False,False,True,False,False,False
0,0,1,0,61,1,,,,,,,1,19.4,1182.55,Yes,1,82,4221,False,False,False,False,True,False,True,False,False
1,0,0,0,12,1,0.0,0.0,0.0,0.0,0.0,0.0,1,45.4,518.9,Yes,1,68,2887,False,False,False,False,False,False,False,False,False
0,0,0,0,60,1,0.0,1.0,1.0,0.0,1.0,1.0,1,105.9,6396.45,Yes,1,84,4105,False,False,False,True,False,True,False,False,True
0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,69.55,69.55,Yes,1,73,2792,False,False,False,False,True,True,False,False,False
0,0,1,0,28,1,0.0,0.0,0.0,0.0,0.0,1.0,1,81.05,2227.1,Yes,1,98,5201,False,False,False,True,False,True,False,False,False
1,0,1,0,4,1,0.0,0.0,1.0,0.0,1.0,1.0,0,101.15,385.9,Yes,1,84,4417,False,False,False,True,False,True,False,False,True
1,0,0,0,7,1,0.0,1.0,0.0,0.0,1.0,1.0,1,99.8,673.25,Yes,1,98,2031,False,False,False,True,False,True,False,False,True
0,0,1,0,13,1,0.0,0.0,0.0,0.0,0.0,1.0,0,55.95,734.35,Yes,1,91,4498,False,False,False,True,False,False,False,False,False
1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1,55.0,55.0,Yes,1,71,4877,False,False,False,True,False,False,False,False,False
0,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1,74.7,74.7,Yes,1,80,5980,False,False,False,True,False,True,False,False,False
1,0,0,0,24,1,0.0,1.0,0.0,0.0,0.0,0.0,1,80.25,1861.5,Yes,1,77,4418,False,False,False,True,False,True,False,False,True
1,0,0,0,5,1,0.0,0.0,0.0,1.0,1.0,1.0,1,96.1,453.4,Yes,1,66,4192,False,False,False,True,False,True,False,False,False
0,0,0,0,15,1,0.0,0.0,0.0,0.0,0.0,0.0,0,69.0,994.8,Yes,1,73,5671,False,False,False,False,False,True,False,False,False
0,0,1,0,48,0,1.0,0.0,1.0,0.0,0.0,1.0,1,45.3,2145.0,Yes,1,65,4926,False,False,False,False,False,False,False,True,False
0,0,1,0,8,1,0.0,1.0,0.0,0.0,1.0,0.0,1,83.55,680.05,Yes,1,65,2879,False,False,False,True,False,True,False,False,False
1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,74.35,74.35,Yes,1,93,2814,False,False,False,True,False,True,False,False,True
0,0,1,0,2,1,1.0,0.0,0.0,0.0,0.0,0.0,1,74.4,139.4,Yes,1,77,4263,False,False,False,True,False,True,False,False,False
1,0,0,0,22,0,0.0,1.0,1.0,0.0,0.0,1.0,1,43.75,903.6,Yes,1,66,3099,True,False,False,False,False,False,False,True,False
0,1,0,0,5,0,0.0,1.0,0.0,0.0,0.0,0.0,0,28.45,131.05,Yes,1,89,4099,False,False,False,True,False,False,False,True,False
0,0,0,0,12,1,1.0,1.0,1.0,0.0,0.0,1.0,1,99.7,1238.45,Yes,1,76,2538,False,False,False,False,False,True,False,False,True
0,1,0,0,20,1,0.0,1.0,1.0,0.0,0.0,1.0,1,94.1,1782.4,Yes,1,87,2666,False,False,False,True,False,True,False,False,True
1,0,1,0,2,1,0.0,0.0,0.0,1.0,1.0,1.0,1,94.2,167.5,Yes,1,72,3715,False,False,False,True,False,True,False,False,False
0,0,1,0,6,1,0.0,0.0,0.0,1.0,0.0,0.0,1,80.5,502.85,Yes,1,98,5032,False,False,False,True,False,True,False,False,True
0,1,1,0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,1,74.35,334.8,Yes,1,82,5273,False,False,False,True,False,True,False,False,True
1,0,0,0,40,1,0.0,0.0,1.0,1.0,1.0,1.0,0,104.8,4131.95,Yes,1,88,3492,False,False,False,False,False,True,False,False,True
0,1,1,0,27,1,1.0,0.0,0.0,0.0,0.0,0.0,1,75.2,1929.35,Yes,1,99,4517,False,False,False,False,False,True,False,False,False
0,0,0,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,0,75.6,1758.6,Yes,1,81,2115,False,False,False,False,False,True,False,False,True
1,0,1,0,34,1,0.0,0.0,1.0,0.0,1.0,1.0,1,100.05,3480.0,Yes,1,72,2568,False,False,False,True,False,True,False,False,True
0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1,85.0,85.0,Yes,1,80,5679,False,False,False,True,False,True,False,False,True
1,0,0,0,10,1,0.0,0.0,0.0,0.0,1.0,0.0,1,86.05,834.1,Yes,1,85,2966,False,False,False,False,False,True,False,False,True
1,0,0,0,13,0,1.0,0.0,0.0,1.0,1.0,0.0,1,45.55,597.0,Yes,1,74,4856,False,False,True,False,False,False,False,True,False
1,0,1,0,39,1,0.0,1.0,0.0,0.0,1.0,0.0,1,86.3,3266.0,Yes,1,98,3364,False,False,False,False,True,True,False,False,False
1,0,0,0,32,1,0.0,1.0,0.0,0.0,0.0,0.0,1,80.35,2596.15,Yes,1,92,5974,False,False,False,False,False,True,False,False,True
0,0,0,0,35,1,0.0,0.0,1.0,0.0,1.0,1.0,1,100.25,3527.6,Yes,1,72,2744,False,False,False,True,False,True,False,False,True
1,0,1,0,56,1,0.0,1.0,0.0,0.0,1.0,1.0,0,100.3,5614.45,Yes,1,67,5170,True,False,True,False,False,True,False,False,True
0,0,1,0,12,1,,,,,,,0,19.0,233.55,Yes,1,72,3535,False,False,False,False,True,False,True,False,False
0,0,0,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0,75.3,75.3,Yes,1,87,3244,False,False,False,False,True,True,False,False,False
0,1,0,0,4,1,0.0,0.0,1.0,0.0,1.0,0.0,1,89.2,346.2,Yes,1,74,5808,False,False,False,True,False,True,False,False,True
0,1,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,1,85.7,85.7,Yes,1,66,4880,False,False,False,True,False,True,False,False,True
0,0,0,0,12,1,1.0,0.0,1.0,1.0,0.0,0.0,1,61.65,713.75,Yes,1,67,5670,False,False,False,False,True,False,False,False,True
0,1,1,0,65,1,1.0,0.0,1.0,0.0,1.0,1.0,0,105.25,6786.4,Yes,1,91,4196,False,False,False,False,False,True,False,False,True
1,0,1,0,9,0,0.0,1.0,0.0,0.0,0.0,0.0,1,29.95,248.95,Yes,1,83,2573,False,False,False,True,False,False,False,True,False
0,0,1,0,9,1,1.0,1.0,1.0,1.0,0.0,0.0,0,65.0,663.05,Yes,1,76,3983,False,False,False,False,True,False,False,False,False
0,0,0,0,7,1,,,,,,,0,20.0,137.6,Yes,1,100,4479,False,False,False,False,False,False,True,False,False
1,1,1,0,49,1,0.0,1.0,0.0,0.0,0.0,1.0,0,90.05,4547.25,Yes,1,96,5059,False,False,True,False,False,True,False,False,True
1,1,1,0,43,1,0.0,1.0,1.0,1.0,1.0,1.0,1,110.75,4687.9,Yes,1,65,2728,False,False,False,False,False,True,False,False,True
0,0,1,0,65,1,0.0,1.0,1.0,0.0,1.0,1.0,1,105.5,6985.65,Yes,1,89,5720,False,False,False,True,False,True,False,False,True
1,1,1,0,56,1,1.0,0.0,1.0,0.0,1.0,1.0,1,104.55,5794.65,Yes,1,91,6268,True,False,False,False,False,True,False,False,True
1,0,1,0,10,1,0.0,0.0,0.0,0.0,0.0,1.0,1,85.25,855.3,Yes,1,75,3573,False,False,False,True,False,True,False,False,True
0,0,1,0,43,1,0.0,0.0,0.0,0.0,1.0,0.0,0,56.15,2499.3,Yes,1,65,2152,False,False,False,True,False,False,False,False,False
1,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1,89.55,89.55,Yes,1,99,4996,False,False,False,True,False,True,False,False,False
1,1,1,0,20,1,0.0,0.0,0.0,0.0,1.0,1.0,1,94.55,1899.65,Yes,1,84,5604,False,False,False,True,False,True,False,False,True
1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,45.7,45.7,Yes,1,95,2295,False,False,False,False,True,False,False,False,False
0,1,0,0,2,1,0.0,1.0,0.0,0.0,0.0,1.0,0,89.5,161.5,Yes,1,80,2065,False,False,False,True,False,True,False,False,True
0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,1,69.55,222.3,Yes,1,87,2876,False,False,False,False,False,True,False,False,False
0,0,0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,1,74.6,74.6,Yes,1,94,3860,False,False,False,False,True,True,False,False,False
0,1,0,0,8,1,,,,,,,0,19.65,164.3,Yes,1,83,5432,False,False,False,True,False,False,True,False,False
1,0,1,0,2,1,,,,,,,0,19.85,35.9,Yes,1,68,2362,True,False,False,False,True,False,True,False,False
0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,1,24.25,96.05,Yes,1,93,2038,False,False,False,False,True,False,False,True,False
0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,69.65,145.15,Yes,1,80,2323,False,False,False,True,False,True,False,False,False
0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0,45.65,191.05,Yes,1,78,2864,False,False,False,False,True,False,False,False,False
0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,75.05,75.05,Yes,1,78,4838,False,False,False,False,True,True,False,False,True
1,1,0,0,52,0,0.0,1.0,0.0,0.0,1.0,1.0,1,49.15,2550.9,Yes,1,90,5597,False,False,False,True,False,False,False,True,False
0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1.0,1,34.7,62.25,Yes,1,65,3146,False,False,False,True,False,False,False,True,False
1,0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0,80.0,80.0,Yes,1,88,2046,False,False,False,True,False,True,False,False,False
1,1,0,0,2,1,1.0,0.0,0.0,0.0,0.0,0.0,1,49.25,91.1,Yes,1,89,3475,False,False,False,True,False,False,False,False,False
0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,1,75.1,270.7,Yes,1,69,4965,False,False,True,False,False,True,False,False,True
1,0,1,0,3,1,0.0,0.0,1.0,0.0,0.0,0.0,1,50.15,168.15,Yes,1,86,3273,False,False,False,True,False,False,False,False,False
0,0,0,0,25,1,1.0,1.0,0.0,0.0,0.0,0.0,1,79.85,2015.35,Yes,1,85,4535,False,False,False,False,False,True,False,False,False
1,0,0,0,1,1,,,,,,,0,19.55,19.55,Yes,1,66,3556,False,False,False,False,True,False,True,False,False
0,0,1,0,4,1,0.0,0.0,0.0,0.0,0.0,1.0,1,85.95,381.3,Yes,1,74,5640,False,False,False,True,False,True,False,False,True
1,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,1,45.35,141.5,Yes,1,67,2450,False,False,False,True,False,False,False,False,False
1,1,1,0,33,1,0.0,0.0,0.0,0.0,1.0,1.0,1,94.5,3105.55,Yes,1,96,4333,False,False,False,True,False,True,False,False,True
0,1,0,0,30,1,1.0,1.0,1.0,0.0,0.0,0.0,0,91.7,2758.15,Yes,1,97,2482,False,False,True,False,False,True,False,False,True
